gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2429020724	1d31211e-350e-492a-a597-34d24bbc1769		Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia lindenii		SPECIES	Zamia lindenii Regel	Zamia lindenii Regel	Regel	CO	Columbia, Upper Magdalena Valley				061b4f20-f241-11da-a328-b8a03c50a862													8581840	5284172	PRESERVED_SPECIMEN	K	Economic Botany Collection	72847				CC_BY_4_0					2019-10-23T07:32:11.764Z		
2427926121	4daff70b-fd6f-424f-aeec-75afbac828a2	UN-ORI:HORI:2455	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia melanorrhachis		SPECIES	Zamia melanorrhachis D.W.Stev.	Zamia melanorrhachis	melanorrhachis D.W.Stev.	CO	Vereda El Palmar, predio Los Alcornocos	Casanare			eac88d99-9f6c-4031-8fc4-8088f0e0dfe7	4.963681	-72.782064	31.0		506.0				2018-10-26T00:00:00Z	26	10	2018	5284163	5284163	PRESERVED_SPECIMEN	Universidad Nacional de Colombia - Sede Orinoquía (UN-ORI)	HORI	2455				CC_BY_4_0		Francisco J. Mijares Santana			2019-10-21T14:00:22.154Z		TAXON_MATCH_HIGHERRANK;COORDINATE_ROUNDED
2427475731	7bd65a7a-f762-11e1-a439-00145eb45e9a	urn:catalog:MO:Tropicos:101159260	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia lindosensis		SPECIES	Zamia lindosensis D.W.Stev., D.Cárdenas & N.Castaño	Zamia lindosensis D.W. Stev., D. Cárdenas & N. Castaño	D.W. Stev., D. Cárdenas & N. Castaño	CO	Municipio Guaviare, Serrania de La Lindosa	Amazonas		1	90fd6680-349f-11d8-aa2d-b8a03c50a862					400.0				2008-09-09T00:00:00Z	9	9	2008	10642445	10642445	PRESERVED_SPECIMEN	MO	MO	101159260	Cárdenas López 21798a	fide Stevenson et al.	2018-01-01T00:00:00Z	CC_BY_4_0	Missouri Botanical Garden	Dairon Cárdenas L.|N. Castaño|Alejandro Zuluaga|Erick Amin Sedano García	HOLOTYPE		2019-10-18T03:52:57.977Z		
2313488613	a8f65e0b-5b75-4880-bebc-f9a3efe13ccd	ColombiaBio:SINCHI:Apaporis:COAH:2018:PR-577	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia hymenophyllidia		SPECIES	Zamia hymenophyllidia D.W.Stev.	Zamia hymenophyllidia D.W.Stev.	D.W.Stev.	CO	comunidad Morroco, cerro Morroco, tope del cerro	Vaupés			9d77fdeb-100f-4b29-98ad-4effdd824457	0.129389	-70.944028			595.0	0.0			2018-02-27T00:00:00Z	27	2	2018	5284070	5284070	PRESERVED_SPECIMEN	Instituto Amazónico de Investigaciones Científicas SINCHI	COAH	PR-577	10595	Cárdenas, D.	2018-05-01T00:00:00Z	CC_BY_NC_4_0		Castaño-A., N.			2019-09-21T00:35:36.813Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2313485215	a8f65e0b-5b75-4880-bebc-f9a3efe13ccd	ColombiaBio:SINCHI:Apaporis:COAH:2018:100577	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia ulei		SPECIES	Zamia ulei Damm.	Zamia ulei Dammer	Dammer	CO	comunidad de Morroco, cerro Morroco, cuenca del río Cananarí, inmediaciones del PNN Yaigoje-Apaporis, bosque inclinado en la pendiente rocosa subiendo al cerro	Vaupés			9d77fdeb-100f-4b29-98ad-4effdd824457	0.14228	-70.95878			170.0	0.0			2018-02-24T00:00:00Z	24	2	2018	5284072	5284072	PRESERVED_SPECIMEN	Instituto Amazónico de Investigaciones Científicas SINCHI	COAH	100577	21878	Cárdenas, D.	2018-05-01T00:00:00Z	CC_BY_NC_4_0		Betancur, J.			2019-09-21T00:35:35.646Z		GEODETIC_DATUM_ASSUMED_WGS84
2313476228	a8f65e0b-5b75-4880-bebc-f9a3efe13ccd	ColombiaBio:SINCHI:Apaporis:COAH:2018:101266	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia ulei		SPECIES	Zamia ulei Damm.	Zamia ulei Dammer	Dammer	CO	comunidad de Morroco, (río Cananarí, afluente del río Apaporis en el sector de Jirijirimo), vegetación a orilla de cñ. Morroco y sabaneta sobre arena blanca	Vaupés			9d77fdeb-100f-4b29-98ad-4effdd824457	0.11833	-70.95694			200.0	0.0			2018-02-27T00:00:00Z	27	2	2018	5284072	5284072	PRESERVED_SPECIMEN	Instituto Amazónico de Investigaciones Científicas SINCHI	COAH	101266	50000	Cárdenas, D.	2018-05-01T00:00:00Z	CC_BY_NC_4_0		Cárdenas, D.			2019-09-21T00:35:34.873Z		GEODETIC_DATUM_ASSUMED_WGS84
2294628076	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/29319413	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia oligodonta		SPECIES	Zamia oligodonta Calderón & D.W.Stev.	Zamia oligodonta		CO		Risaralda			28eb1a3f-1c15-4a95-931a-4af90ecb574d	5.318641	-76.000305	3906.0						2019-06-23T00:00:00Z	23	6	2019	5284137	5284137	HUMAN_OBSERVATION	iNaturalist	Observations	29319413			2019-07-22T15:17:22Z	CC_BY_NC_4_0	Jhon Edwar Enriquez Calderón	Jhon Edwar Enriquez Calderón			2019-09-21T00:35:36.140Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2294430835	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/27692012	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia oligodonta		SPECIES	Zamia oligodonta Calderón & D.W.Stev.	Zamia oligodonta		CO		Risaralda			28eb1a3f-1c15-4a95-931a-4af90ecb574d	5.215563	-76.056343	31.0						2019-06-23T00:00:00Z	23	6	2019	5284137	5284137	HUMAN_OBSERVATION	iNaturalist	Observations	27692012			2019-07-24T12:55:22Z	CC_BY_NC_4_0	Sonia Marín Londoño	Sonia Marín Londoño			2019-09-21T00:35:36.140Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2294430481	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/27660596	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia montana		SPECIES	Zamia montana A.Braun	Zamia montana		CO		Antioquia			28eb1a3f-1c15-4a95-931a-4af90ecb574d	5.702175	-75.261009	31373.0						2019-06-23T00:00:00Z	23	6	2019	5284130	5284130	HUMAN_OBSERVATION	iNaturalist	Observations	27660596			2019-07-28T03:01:08Z	CC_BY_NC_4_0	santiago vasquez	santiago vasquez			2019-09-21T00:35:34.459Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2294342253	a8f65e0b-5b75-4880-bebc-f9a3efe13ccd	ColombiaBio:SINCHI:Apaporis:COAH:2018:69749	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia lecointei		SPECIES	Zamia lecointei Ducke	Zamia lecointei Ducke	Ducke	CO	Resguardo indígena Bajo Apaporis (parte alta), comunidad Jirijirimo, río Apaporis margen der., raudal Jirijirimo	Amazonas			9d77fdeb-100f-4b29-98ad-4effdd824457	-0.04806	-70.94333			300.0	0.0			2009-03-21T00:00:00Z	21	3	2009	5284086	5284086	PRESERVED_SPECIMEN	Instituto Amazónico de Investigaciones Científicas SINCHI	COAH	69749	22076	Calonje, M.	2015-09-21T00:00:00Z	CC_BY_NC_4_0		Cárdenas, D.			2019-09-21T00:35:34.322Z		GEODETIC_DATUM_ASSUMED_WGS84
2294341719	a8f65e0b-5b75-4880-bebc-f9a3efe13ccd	ColombiaBio:SINCHI:Apaporis:COAH:2018:99160	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia ulei		SPECIES	Zamia cupatiensis Ducke	Zamia cupatiensis Ducke	Ducke	CO	Comunidad Morroco, (río Cananari, afluente del río Apaporis en el sector de Jirijirimo), vegetación a orilla de cñ. Morroco y sabaneta sobre arena blanca	Vaupés			9d77fdeb-100f-4b29-98ad-4effdd824457	0.11833	-70.95694			200.0	0.0			2018-02-27T00:00:00Z	27	2	2018	5284073	5284072	PRESERVED_SPECIMEN	Instituto Amazónico de Investigaciones Científicas SINCHI	COAH	99160	50000	Cárdenas, D.	2018-05-01T00:00:00Z	CC_BY_NC_4_0		Cárdenas, D.			2019-09-21T00:35:40.298Z		GEODETIC_DATUM_ASSUMED_WGS84
2294340571	a8f65e0b-5b75-4880-bebc-f9a3efe13ccd	ColombiaBio:SINCHI:Apaporis:COAH:2018:64313	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia ulei		SPECIES	Zamia ulei Damm.	Zamia ulei Dammer	Dammer	CO	Gran resguardo del Vaupés, comunidad de Puerto Morroco, cerro Morroco	Vaupés			9d77fdeb-100f-4b29-98ad-4effdd824457	0.13503	-70.94347			492.0	0.0			2013-02-09T00:00:00Z	9	2	2013	5284072	5284072	PRESERVED_SPECIMEN	Instituto Amazónico de Investigaciones Científicas SINCHI	COAH	64313	3126	Mendoza, H.	2014-05-01T00:00:00Z	CC_BY_NC_4_0		Barreto, J.S.			2019-09-21T00:35:34.253Z		GEODETIC_DATUM_ASSUMED_WGS84
2291533100	15f819bd-6612-4447-854b-14d12ee1022d	http://data.biodiversitydata.nl/naturalis/specimen/U.1044627	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia roezli		SPECIES	Zamia roezli Regel	Zamia roezlii Regel	Regel	CO	Depto. de Nariño.Pueblo Nuevo, cerca al río Mira en camino a bosque de Sajo.				396d5f30-dea9-11db-8ab4-b8a03c50a862									1986-06-11T00:00:00Z	11	6	1986	5638666	5638666	PRESERVED_SPECIMEN		Botany	U.1044627				CC0_1_0	Naturalis Biodiversity Center	León H; Maas PJM; et al.			2019-09-21T00:35:37.608Z	STILLIMAGE	TAXON_MATCH_FUZZY
2291532828	15f819bd-6612-4447-854b-14d12ee1022d	http://data.biodiversitydata.nl/naturalis/specimen/U.1044616	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia lecointei		SPECIES	Zamia lecointei Ducke	Zamia lecointei Ducke	Ducke	CO	Santa Isabel, sitio sabanas de Solarte.	Amazonas			396d5f30-dea9-11db-8ab4-b8a03c50a862	-1.083333	-71.166667											5284086	5284086	PRESERVED_SPECIMEN		Botany	U.1044616		Nicolalde F	2005-07-01T00:00:00Z	CC0_1_0	Naturalis Biodiversity Center	Arbeláez MV; Matapi U; Matapi N			2019-09-21T00:35:34.103Z	STILLIMAGE	RECORDED_DATE_INVALID
2291532562	15f819bd-6612-4447-854b-14d12ee1022d	http://data.biodiversitydata.nl/naturalis/specimen/U.1044628	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia roezli		SPECIES	Zamia roezli Regel	Zamia roezlii Regel	Regel	CO	Depto. de Nariño.Pueblo Nuevo, cerca al río Mira en camino a bosque de Sajo.				396d5f30-dea9-11db-8ab4-b8a03c50a862									1986-06-11T00:00:00Z	11	6	1986	5638666	5638666	PRESERVED_SPECIMEN		Botany	U.1044628				CC0_1_0	Naturalis Biodiversity Center	León H; Maas PJM; et al.			2019-09-21T00:35:36.622Z	STILLIMAGE	TAXON_MATCH_FUZZY
2291532310	15f819bd-6612-4447-854b-14d12ee1022d	http://data.biodiversitydata.nl/naturalis/specimen/U.1044614	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia encephalartoides		SPECIES	Zamia encephalartoides D.W.Stev.	Zamia encephartoides D.W.Stev.	D.W.Stev.	CO		Santander			396d5f30-dea9-11db-8ab4-b8a03c50a862									1985-03-05T00:00:00Z	5	3	1985	5284080	5284080	PRESERVED_SPECIMEN		Botany	U.1044614				CC0_1_0	Naturalis Biodiversity Center	Henderson A; Bernal G; R			2019-09-21T00:35:37.594Z	STILLIMAGE	TAXON_MATCH_FUZZY
2291532016	15f819bd-6612-4447-854b-14d12ee1022d	http://data.biodiversitydata.nl/naturalis/specimen/U.1044633	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia ulei		SPECIES	Zamia ulei Damm.	Zamia ulei Dammer	Dammer	CO	Amazonas. Parque Nacional Natural Amacayacu. Centro Administrativo Amacayacu INDERENA; a la orilla del Rio Amacayacu.	Amazonas			396d5f30-dea9-11db-8ab4-b8a03c50a862	-3.783333	-70.25							1991-04-12T00:00:00Z	12	4	1991	5284072	5284072	PRESERVED_SPECIMEN		Botany	U.1044633		Idarraga A		CC0_1_0	Naturalis Biodiversity Center	Pipoly JJ; Rudas A; Palacios PA			2019-09-21T00:35:37.924Z	STILLIMAGE	
2291508241	15f819bd-6612-4447-854b-14d12ee1022d	http://data.biodiversitydata.nl/naturalis/specimen/U%20%200227550	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia			GENUS	Zamia L.	Zamia  L.	L.	CO	Chocó; Rio Baudó.	Chocó			396d5f30-dea9-11db-8ab4-b8a03c50a862									1967-02-16T00:00:00Z	16	2	1967	2683306		PRESERVED_SPECIMEN		Botany	U  0227550				CC0_1_0	Naturalis Biodiversity Center	Fuchs HP; Zanella E; Torres-Romero JH			2019-09-21T00:35:35.208Z		
2291376448	15f819bd-6612-4447-854b-14d12ee1022d	http://data.biodiversitydata.nl/naturalis/specimen/L.3933364	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia pseudoparasitica		SPECIES	Zamia pseudoparasitica Yates	Zamia pseudoparasitica J.Yates	J.Yates	CO	Choco; rio Baudo;trocha de la Q.Chigual, ca 3 km E de Pizarro.				396d5f30-dea9-11db-8ab4-b8a03c50a862									1967-02-27T00:00:00Z	27	2	1967	5284046	5284046	PRESERVED_SPECIMEN		Botany	L.3933364				CC0_1_0	Naturalis Biodiversity Center	Fuchs HP; Torres-Romero JH; Zanella E			2019-09-21T00:35:37.248Z	STILLIMAGE	
2291376221	15f819bd-6612-4447-854b-14d12ee1022d	http://data.biodiversitydata.nl/naturalis/specimen/L.3933353	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia restrepoi		SPECIES	Zamia restrepoi (D.W.Stev.) A.Lindstr.	Zamia restrepoi (D.W.Stev.) A.Lindstr.	(D.W.Stev.) A.Lindstr.	CO	Dptto.Cordoba, Near Tierralta, Urra Dam.				396d5f30-dea9-11db-8ab4-b8a03c50a862	7.883333	-76.35							1998-09-20T00:00:00Z	20	9	1998	5638668	5638668	PRESERVED_SPECIMEN		Botany	L.3933353				CC0_1_0	Naturalis Biodiversity Center	Morales G			2019-09-21T00:35:38.126Z	STILLIMAGE	
2291376157	15f819bd-6612-4447-854b-14d12ee1022d	http://data.biodiversitydata.nl/naturalis/specimen/L.3933356	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia manicata		SPECIES	Zamia manicata Linden ex Regel	Zamia manicata Linden ex Regel	Linden ex Regel	CO	Antioquia, Mutata, chiqorodo, 7 km towards town.				396d5f30-dea9-11db-8ab4-b8a03c50a862									1998-09-20T00:00:00Z	20	9	1998	5284159	5284159	PRESERVED_SPECIMEN		Botany	L.3933356				CC0_1_0	Naturalis Biodiversity Center	Morales G			2019-09-21T00:35:36.688Z	STILLIMAGE	
2291375779	15f819bd-6612-4447-854b-14d12ee1022d	http://data.biodiversitydata.nl/naturalis/specimen/L.3933350	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia melanorrhachis		SPECIES	Zamia melanorrhachis D.W.Stev.	Zamia melanorrhachis D.W.Stev.	D.W.Stev.	CO	Antioquia, Uraba, Relict secondary forest.				396d5f30-dea9-11db-8ab4-b8a03c50a862	7.9	-76.683333							2002-10-10T00:00:00Z	10	10	2002	5284163	5284163	PRESERVED_SPECIMEN		Botany	L.3933350				CC0_1_0	Naturalis Biodiversity Center	Lindstrom AJ			2019-09-21T00:35:41.184Z	STILLIMAGE	
2290689529	15f819bd-6612-4447-854b-14d12ee1022d	http://data.biodiversitydata.nl/naturalis/specimen/U.1044610	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia amazonum		SPECIES	Zamia amazonum D.W.Stev.	Zamia amazonum D.W.Stev.	D.W.Stev.	CO	Colombia: Amazonas: Rio Caqueta; 2 km al norte de Isla Mariñame.	Amazonas			396d5f30-dea9-11db-8ab4-b8a03c50a862									1987-07-03T00:00:00Z	3	7	1987	5284138	5284138	PRESERVED_SPECIMEN		Botany	U.1044610		Nicolalde F	2005-07-01T00:00:00Z	CC0_1_0	Naturalis Biodiversity Center	Mohr O; Sosa M			2019-09-21T00:35:36.838Z	STILLIMAGE	
2290651114	15f819bd-6612-4447-854b-14d12ee1022d	http://data.biodiversitydata.nl/naturalis/specimen/U.1044630	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia ulei		SPECIES	Zamia ulei Damm.	Zamia ulei Dammer	Dammer	CO	Rio Piraparaná (tributary of Rio Apaporis). Headwaters of Caño Teemeeña, Lobo Igarapé.	Vaupés			396d5f30-dea9-11db-8ab4-b8a03c50a862									1952-09-10T00:00:00Z	10	9	1952	5284072	5284072	PRESERVED_SPECIMEN		Botany	U.1044630		Nicolalde F	2005-07-01T00:00:00Z	CC0_1_0	Naturalis Biodiversity Center	Schultes RE; Cabrera Rodriguez I; I			2019-09-21T00:35:39.104Z	STILLIMAGE	
2290033204	15f819bd-6612-4447-854b-14d12ee1022d	http://data.biodiversitydata.nl/naturalis/specimen/L.3933357	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia disodon		SPECIES	Zamia disodon D.W.Stev. & Sabato	Zamia disodon D.W.Stev. & Sabato	D.W.Stev. & Sabato	CO	Antioquia, Muncipality de Apartado, Choromando bought in peasent houses by the roadside outside Choromando close to teh recently converted banana plantations.				396d5f30-dea9-11db-8ab4-b8a03c50a862	8.116667	-76.666667							2002-10-10T00:00:00Z	10	10	2002	5284129	5284129	PRESERVED_SPECIMEN		Botany	L.3933357				CC0_1_0	Naturalis Biodiversity Center	Lindstrom AJ			2019-09-21T00:35:33.840Z	STILLIMAGE	
2289845935	15f819bd-6612-4447-854b-14d12ee1022d	http://data.biodiversitydata.nl/naturalis/specimen/U%20%200227549	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia			GENUS	Zamia L.	Zamia  L.	L.	CO	Chocó; Rio Baudó.	Chocó			396d5f30-dea9-11db-8ab4-b8a03c50a862									1967-02-16T00:00:00Z	16	2	1967	2683306		PRESERVED_SPECIMEN		Botany	U  0227549				CC0_1_0	Naturalis Biodiversity Center	Fuchs HP; Zanella E; Torres-Romero JH			2019-09-21T00:35:37.123Z		
2289742051	15f819bd-6612-4447-854b-14d12ee1022d	http://data.biodiversitydata.nl/naturalis/specimen/U.1044629	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia roezli		SPECIES	Zamia roezli Regel	Zamia roezlii Regel	Regel	CO	Depto. de Nariño.Pueblo Nuevo, cerca al río Mira en camino a bosque de Sajo.				396d5f30-dea9-11db-8ab4-b8a03c50a862									1986-06-11T00:00:00Z	11	6	1986	5638666	5638666	PRESERVED_SPECIMEN		Botany	U.1044629				CC0_1_0	Naturalis Biodiversity Center	León H; Maas PJM; et al.			2019-09-21T00:35:34.186Z	STILLIMAGE	TAXON_MATCH_FUZZY
2289694955	15f819bd-6612-4447-854b-14d12ee1022d	http://data.biodiversitydata.nl/naturalis/specimen/U.1044615	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia encephalartoides		SPECIES	Zamia encephalartoides D.W.Stev.	Zamia encephartoides D.W.Stev.	D.W.Stev.	CO		Santander			396d5f30-dea9-11db-8ab4-b8a03c50a862									1985-03-05T00:00:00Z	5	3	1985	5284080	5284080	PRESERVED_SPECIMEN		Botany	U.1044615				CC0_1_0	Naturalis Biodiversity Center	Henderson A; Bernal G; R			2019-09-21T00:35:37.594Z	STILLIMAGE	TAXON_MATCH_FUZZY
2289585597	15f819bd-6612-4447-854b-14d12ee1022d	http://data.biodiversitydata.nl/naturalis/specimen/L.3933365	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia pseudoparasitica		SPECIES	Zamia pseudoparasitica Yates	Zamia pseudoparasitica J.Yates	J.Yates	CO	Choco; rio Baudo;trocha de la Q.Chigual, ca 3 km E de Pizarro.				396d5f30-dea9-11db-8ab4-b8a03c50a862									1967-02-27T00:00:00Z	27	2	1967	5284046	5284046	PRESERVED_SPECIMEN		Botany	L.3933365				CC0_1_0	Naturalis Biodiversity Center	Fuchs HP; Torres-Romero JH; Zanella E			2019-09-21T00:35:34.498Z	STILLIMAGE	
2289264745	15f819bd-6612-4447-854b-14d12ee1022d	http://data.biodiversitydata.nl/naturalis/specimen/L.3933354	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia restrepoi		SPECIES	Zamia restrepoi (D.W.Stev.) A.Lindstr.	Zamia restrepoi (D.W.Stev.) A.Lindstr.	(D.W.Stev.) A.Lindstr.	CO	Dptto.Cordoba, Near Tierralta, Urra Dam.				396d5f30-dea9-11db-8ab4-b8a03c50a862	7.883333	-76.35							1998-09-20T00:00:00Z	20	9	1998	5638668	5638668	PRESERVED_SPECIMEN		Botany	L.3933354				CC0_1_0	Naturalis Biodiversity Center	Morales G			2019-09-21T00:35:37.247Z	STILLIMAGE	
2288620216	15f819bd-6612-4447-854b-14d12ee1022d	http://data.biodiversitydata.nl/naturalis/specimen/U%20%200007273	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia restrepoi		SPECIES	Chigua restrepoi D.W.Stev.	Chigua restrepoi D.W.Stev.	D.W.Stev.	CO	Depto. Cordoba, Quimari Medio entre Quebrada Piru y Quebrada Tucurao Cerca de Escuela Quimari Medio Carretera de Callejas-Pueblo Nuevo-Parcella del Hobo. Camino de Quimari Medio.	Córdoba			396d5f30-dea9-11db-8ab4-b8a03c50a862									1987-03-14T00:00:00Z	14	3	1987	2683616	5638668	PRESERVED_SPECIMEN		Botany	U  0007273		Stevenson DW		CC0_1_0	Naturalis Biodiversity Center	Stevenson D; Restrepo S; Brand J; et al.	ISOTYPE		2019-09-20T18:04:56.488Z	STILLIMAGE	
2288358596	15f819bd-6612-4447-854b-14d12ee1022d	http://data.biodiversitydata.nl/naturalis/specimen/L.3933355	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia	Zamia restrepoi		SPECIES	Zamia restrepoi (D.W.Stev.) A.Lindstr.	Zamia restrepoi (D.W.Stev.) A.Lindstr.	(D.W.Stev.) A.Lindstr.	CO	Dptto.Cordoba, Near Tierralta, Urra Dam.				396d5f30-dea9-11db-8ab4-b8a03c50a862	7.883333	-76.35							1998-09-20T00:00:00Z	20	9	1998	5638668	5638668	PRESERVED_SPECIMEN		Botany	L.3933355				CC0_1_0	Naturalis Biodiversity Center	Morales G			2019-09-21T00:35:38.279Z	STILLIMAGE	
2273828910	023c7f99-d0c8-429a-998f-66ecfd84b3df	IIAP-Alto del Buey-2010-Dicotiledoneas-27	Plantae	Tracheophyta	Cycadopsida	Cycadales	Zamiaceae	Zamia			GENUS	Zamia L.	Zamia obliqua		CO	Alto del Buey, municipio de Bahía Solano	Chocó			e1050db2-9faf-4d72-b860-295debaf9d2a	4.066775	-76.508414			1862.0	0.0			2010-09-01T00:00:00Z	1	9	2010	2683306		HUMAN_OBSERVATION	IIAP						CC_BY_NC_4_0		""" Jhon J. Cuesta; Geovanny R. """			2019-09-21T00:35:34.848Z		COORDINATE_ROUNDED
2248475845	6ac1d55a-ac4e-455b-b438-befaabe1d8fc	CORPOCAL:116-2007:488	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycadaceae	Cycas	Cycas revoluta		SPECIES	Cycas revoluta Thunb.	Cycas revoluta	Thunb.	CO		Caldas	Presente		015d5ac7-2644-49e9-815e-79468647d6af	5.062515	-75.871112	751.0						2008-03-01T00:00:00Z		3	2008	2683217	2683217	HUMAN_OBSERVATION	Corporación Autónoma Regional de Caldas (CORPOCALDAS)				Francia Alejandra Ramos Duque | César Augusto Duque Castrillón		CC_BY_4_0	Corporación Autónoma Regional de Caldas (CORPOCALDAS) | Fundación Biodiversa	Fundación Biodiversa			2019-09-20T19:10:48.253Z		COORDINATE_ROUNDED
2248475745	6ac1d55a-ac4e-455b-b438-befaabe1d8fc	CORPOCAL:116-2007:494	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycadaceae	Cycas	Cycas revoluta		SPECIES	Cycas revoluta Thunb.	Cycas revoluta	Thunb.	CO		Caldas	Presente		015d5ac7-2644-49e9-815e-79468647d6af	5.062515	-75.871112	751.0						2008-03-01T00:00:00Z		3	2008	2683217	2683217	HUMAN_OBSERVATION	Corporación Autónoma Regional de Caldas (CORPOCALDAS)				Francia Alejandra Ramos Duque | César Augusto Duque Castrillón		CC_BY_4_0	Corporación Autónoma Regional de Caldas (CORPOCALDAS) | Fundación Biodiversa	Fundación Biodiversa			2019-09-20T19:10:47.777Z		COORDINATE_ROUNDED
2248475579	6ac1d55a-ac4e-455b-b438-befaabe1d8fc	CORPOCAL:116-2007:520	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycadaceae	Cycas	Cycas revoluta		SPECIES	Cycas revoluta Thunb.	Cycas revoluta	Thunb.	CO		Caldas	Presente		015d5ac7-2644-49e9-815e-79468647d6af	5.062515	-75.871112	751.0						2008-03-01T00:00:00Z		3	2008	2683217	2683217	HUMAN_OBSERVATION	Corporación Autónoma Regional de Caldas (CORPOCALDAS)				Francia Alejandra Ramos Duque | César Augusto Duque Castrillón		CC_BY_4_0	Corporación Autónoma Regional de Caldas (CORPOCALDAS) | Fundación Biodiversa	Fundación Biodiversa			2019-09-20T19:10:47.458Z		COORDINATE_ROUNDED
2248475520	6ac1d55a-ac4e-455b-b438-befaabe1d8fc	CORPOCAL:116-2007:432	Plantae	Tracheophyta	Cycadopsida	Cycadales	Cycadaceae	Cycas	Cycas revoluta		SPECIES	Cycas revoluta Thunb.	Cycas revoluta	Thunb.	CO		Caldas	Presente		015d5ac7-2644-49e9-815e-79468647d6af	5.062515	-75.871112	751.0						2008-03-01T00:00:00Z		3	2008	2683217	2683217	HUMAN_OBSERVATION	Corporación Autónoma Regional de Caldas (CORPOCALDAS)				Francia Alejandra Ramos Duque | César Augusto Duque Castrillón		CC_BY_4_0	Corporación Autónoma Regional de Caldas (CORPOCALDAS) | Fundación Biodiversa	Fundación Biodiversa			2019-09-20T19:10:48.674Z		COORDINATE_ROUNDED
